	Price	Dividend	Volume	Matches	Attempt Buys	Attempt Sells	Interest Rates	Total Bid	Total Ask	Total Buys	Total Sells	Profit per Units
351	68.03954282842153	8.959200458976696	2.5915526806505924	2	2	11	0.1	12.293812310038746	2.5915526806505924	11	2	19.38206459562531
352	50.82813618862084	8.749571891138457	5.235327932851977	3	44	3	0.1	5.235327932851977	79.80397864740465	3	44	-8.461834748662236
353	81.85112252233446	8.940469305034583	4.775613253749711	2	2	35	0.1	72.38800737020429	4.775613253749711	35	2	39.96345563874821
354	62.51708870699532	9.13821027484693	19.468637020653475	6	57	6	0.1	19.468637020653475	184.9193579712648	6	57	-10.195823540492217
355	59.804010369743864	8.980814675563014	18.755012853558906	8	15	8	0.1	27.093639822137472	18.755012853558906	8	15	6.267736338311561
356	70.57048938036475	8.92087892171691	1.9966931480183348	2	2	2	0.1	1.9966931480183348	3.5988192816011346	2	2	19.687357932337797
357	52.85138838968839	8.839903596533606	6.228428502659073	3	46	3	0.1	6.228428502659073	93.92868104849474	3	46	-8.879197394142754
358	84.27855552042622	8.638424995365657	4.003048239058046	2	2	34	0.1	60.486562218095614	4.003048239058046	34	2	40.065592126103496
359	62.94933806443871	8.571572366499915	8.299817811661034	3	63	3	0.1	8.299817811661034	202.74237212148543	3	63	-12.757645089487596
360	55.038840910226014	8.898106922419911	11.405556872083912	4	27	4	0.1	11.405556872083912	35.559955973949414	4	27	0.9876097682072125
361	78.57351637978077	8.976691654441389	4.414491117760992	3	3	28	0.1	52.26988013579303	4.414491117760992	28	3	32.511367123996145
362	58.32773581859131	9.031681037928559	5.120681788259532	2	54	2	0.1	5.120681788259532	157.9448179087272	2	54	-11.214099523260904
363	73.42351214416179	8.927684618549577	8.847242709090718	3	3	14	0.1	22.25738768059999	8.847242709090718	14	3	24.02346094412006
364	54.32319106107461	9.07908466640123	3.037738962453332	2	51	2	0.1	3.037738962453332	121.40804443837783	2	51	-10.021236416685952
365	76.92737701961644	9.270987429919312	6.323177290194007	4	4	32	0.1	56.92106539551072	6.323177290194007	32	4	31.875173388461146
366	57.155336797075165	9.344038877854642	6.688776813317588	2	50	2	0.1	6.688776813317588	134.0664222452004	2	50	-10.428001344686637
367	70.63142787815042	9.23425762244597	4.064300211927011	2	2	23	0.1	39.224001815383915	4.064300211927011	23	2	22.710348703521223
368	52.4087229873097	9.384532323165692	4.178236113824411	2	43	2	0.1	4.178236113824411	80.78489323799758	2	43	-8.838172567675025
369	72.23970004605974	9.667141195930196	2.9506538043329087	1	1	40	0.1	87.708958831012	2.9506538043329087	40	1	29.498118254680232
370	54.84190687075653	9.711644461372432	8.51186248546515	3	38	3	0.1	8.51186248546515	74.70074168700958	3	38	-7.686148713930775
371	74.84099777460517	9.487337490669843	2.84817300049153	1	1	40	0.1	77.62266710350696	2.84817300049153	40	1	29.486428394518484
372	56.23452401274543	9.386779731231439	6.19858505009006	2	42	2	0.1	6.19858505009006	97.37648541454487	2	42	-9.2196940306283
373	75.84724561969136	9.6364993803706	2.746591985996946	1	1	29	0.1	53.78740452131251	2.746591985996946	29	1	29.249220987316534
374	59.94462007408144	9.541594267735979	11.88493912023987	4	40	4	0.1	11.88493912023987	94.79759791128424	4	40	-6.361031277873943
375	79.48953002698877	9.803239301983147	2.5988665040876695	1	1	19	0.1	40.63059640431933	2.5988665040876695	19	1	29.34814925489048
376	62.05699888115713	9.808160808900682	14.075337391443384	5	45	5	0.1	14.075337391443384	108.47074883083246	5	45	-7.624370336930964
377	81.73144360515795	9.983275877227026	2.4362998643336047	1	1	19	0.1	42.960112818172014	2.4362998643336047	19	1	29.657720601227847
378	66.42875804609382	9.862291445557037	16.373521477394675	7	46	7	0.1	16.373521477394675	116.1789238995261	7	46	-5.440394113507093
379	74.23870806466404	9.925443804643713	16.598222396009035	13	13	17	0.1	35.71204799702812	16.598222396009035	17	13	17.735393823213933
380	55.66803088005727	10.189747597526864	5.424156256072166	2	40	2	0.1	5.424156256072166	74.15857161659918	2	40	-8.380929587079901
381	68.4159411282699	10.172066004345007	6.42616392612862	2	2	48	0.1	99.54330368014564	6.42616392612862	48	2	22.91997625255764
382	67.93202613403325	10.260154421132818	12.230722756079473	10	12	10	0.1	12.230722756079473	17.134582299447352	10	12	9.776239426896161
383	87.69401605237186	10.160288039037733	1.1576596051683719	1	1	4	0.1	4.154191613380551	1.1576596051683719	4	1	29.922277957376345
384	68.94826983785327	9.938677810255456	12.817069692274995	8	55	8	0.1	12.817069692274995	162.15114915932304	8	55	-8.807068404263134
385	76.77554250435453	9.83740427031914	11.41386749987078	9	10	9	0.1	27.700802682411524	11.41386749987078	9	10	17.6646769368204
386	73.57254065439075	9.670177892065189	0.0	0	45	0	0.1	0.0	83.43807794733893	0	45	6.467176042101405
387	71.49361436299074	9.761509478985621	0.0	0	37	0	0.1	0.0	56.513646882627825	0	37	7.682583187585612
388	60.61164865488834	9.528153886757961	8.0	1	24	1	0.1	8.0	32.53110392463806	1	24	-1.3538118213444381
389	82.90682211871419	9.42009249864481	8.514792669089891	3	3	22	0.1	41.254773116297656	8.514792669089891	22	3	31.715265962470657
390	61.63620030954188	9.356766403803782	8.819311128316713	2	56	2	0.1	8.819311128316713	149.34744016881697	2	56	-11.91385540536853
391	80.10374095696693	9.497637980133408	8.466328125831367	4	4	12	0.1	31.16793562865808	8.466328125831367	12	4	27.965178627558462
392	60.45553909645128	9.647854404257581	10.374179550120132	3	53	3	0.1	10.374179550120132	129.4628286245357	3	53	-10.000347456258067
393	82.86904454322689	9.800393063142161	4.096518172725698	3	3	19	0.1	40.28794872568077	4.096518172725698	19	3	32.21389850991777
394	63.32668441036039	9.614258571539759	14.182125996828892	4	54	4	0.1	14.182125996828892	138.70361785674612	4	54	-9.92810156132674
395	85.81325117335622	9.512817566928202	3.5984650144152033	3	3	11	0.1	26.92709997304787	3.5984650144152033	11	3	31.99938432992403
396	65.25207752387763	9.747494830089977	13.734977329671507	3	56	3	0.1	13.734977329671507	157.17443646498302	3	56	-10.813678819388613
397	61.14242806800512	9.711501089639428	4.371372400138216	4	4	6	0.1	20.500542352396288	4.371372400138216	6	4	5.601851633766914
398	83.6477911596104	9.459887243171778	3.20523169858195	3	3	14	0.1	31.855816967468662	3.20523169858195	14	3	31.965250334777068
