,Dividend Ratio,Price ratio,5 Day Div Moving Average,20 Day Div Moving Average,100 Day Div Moving Average,500 Day Div Moving Average,5 Day Price Moving Average,20 Day Price Moving Average,100 Day Price Moving Average,500 Day Price Moving Average
0,1.0203298432109795,1.0,10.040659686421959,10.01016492160549,10.002032984321097,10.000406596864218,100.0,100.0,100.0,100.0
1,1.0438413628782683,1.0,10.128342412178496,10.032085603044624,10.006417120608925,10.001283424121784,100.4065968642196,100.1016492160549,100.02032984321099,100.0040659686422
2,1.0635551583044283,1.0,10.255452728787352,10.063863182196837,10.012772636439367,10.002554527287874,101.28342412178496,100.32085603044624,100.06417120608926,100.01283424121786
3,1.0595579790586556,1.0,10.374568686904663,10.093642171726165,10.018728434345233,10.003745686869046,102.55452728787353,100.63863182196837,100.12772636439368,100.02554527287874
4,1.0664677641610427,1.0,10.50750421522675,10.126876053806686,10.025375210761336,10.005075042152265,103.74568686904664,100.93642171726165,100.18728434345233,100.03745686869048
5,1.045718015656598,1.0,10.558280560117984,10.149735061634987,10.029947012326996,10.0059894024654,105.07504215226747,101.26876053806686,100.25375210761338,100.0507504215227
6,1.0348555049473303,1.0,10.540308844256108,10.167162814108652,10.033432562821728,10.006686512564345,105.58280560117984,101.49735061634985,100.29947012326998,100.05989402465401
7,1.0596073527211247,1.0,10.532413233089502,10.196966490469213,10.039393298093842,10.007878659618767,105.40308844256109,101.6716281410865,100.33432562821731,100.06686512564349
8,1.0433523595301364,1.0,10.500001994032463,10.218642670234281,10.043728534046856,10.00874570680937,105.32413233089501,101.96966490469212,100.39393298093844,100.07878659618771
9,1.0522742435604246,1.0,10.471614952831226,10.244779792014494,10.048955958402898,10.009791191680579,105.00001994032462,102.1864267023428,100.43728534046859,100.08745706809373
10,1.050370696535548,1.0,10.480920314589124,10.269965140282268,10.053993028056453,10.01079860561129,104.71614952831226,102.44779792014492,100.48955958402901,100.09791191680583
11,1.041132906798249,1.0,10.493475118290963,10.290531593681392,10.058106318736279,10.011621263747255,104.80920314589125,102.69965140282265,100.53993028056456,100.10798605611294
12,1.0168426293560429,1.0,10.4079456715608,10.298952908359414,10.059790581671882,10.011958116334375,104.93475118290962,102.90531593681389,100.58106318736282,100.11621263747257
13,1.021299422492473,1.0,10.363839797485472,10.30960261960565,10.06192052392113,10.012384104784225,104.07945671560799,102.9895290835941,100.59790581671886,100.11958116334378
14,1.0336183331001885,1.0,10.326527976565,10.326411786155743,10.065282357231148,10.013056471446228,103.63839797485473,103.09602619605648,100.61920523921134,100.12384104784228
15,1.0269662603731673,1.0,10.27971910424024,10.339894916342327,10.067978983268466,10.013595796653691,103.26527976565,103.26411786155742,100.65282357231152,100.13056471446231
16,1.0066620005744205,1.0,10.210777291792581,10.343225916629537,10.068645183325907,10.013729036665179,102.79719104240239,103.39894916342328,100.67978983268469,100.13595796653694
17,1.0081316274729126,1.0,10.193355288026321,10.347291730365992,10.069458346073198,10.013891669214638,102.10777291792581,103.43225916629538,100.68645183325911,100.13729036665183
18,1.017394217799773,1.0,10.185544878640922,10.35598883926588,10.071197767853175,10.014239553570633,101.9335528802632,103.47291730365994,100.69458346073203,100.13891669214641
19,1.0395229322539263,1.0,10.197354076948397,10.375750305392842,10.075150061078569,10.01503001221571,101.85544878640921,103.5598883926588,100.71197767853181,100.14239553570636
20,1.0469974449869226,1.0,10.237416446175908,10.389084106280814,10.079849805577261,10.01596996111545,101.97354076948398,103.75750305392845,100.75150061078574,100.15030012215713
21,1.0592332724213909,1.0,10.342558989869849,10.396780061052375,10.0857731328194,10.017154626563878,102.37416446175908,103.89084106280816,100.79849805577265,100.15969961115452
22,1.0565447492438385,1.0,10.439385233411702,10.39327485652208,10.091427607743784,10.018285521548755,103.42558989869849,103.96780061052377,100.85773132819403,100.1715462656388
23,1.0338875155823033,1.0,10.472371828976762,10.380439624783904,10.094816359302014,10.0189632718604,104.39385233411701,103.93274856522082,100.91427607743788,100.18285521548756
24,1.0181537210064078,1.0,10.429633406481724,10.356282603206585,10.096631731402654,10.019326346280527,104.72371828976762,103.80439624783908,100.94816359302018,100.18963271860403
25,1.0059380205944786,1.0,10.347514557696837,10.336392605675526,10.097225533462103,10.019445106692418,104.29633406481726,103.56282603206589,100.96631731402658,100.1932634628053
26,0.9889795525102102,1.0,10.207007117874474,10.313454629456967,10.096123488713124,10.019224697742622,103.47514557696839,103.36392605675528,100.97225533462105,100.1944510669242
27,0.9945017309567113,1.0,10.08292108130022,10.280901818574758,10.095573661808794,10.019114732361757,102.07007117874477,103.13454629456969,100.96123488713127,100.19224697742624
28,1.0207249865430026,1.0,10.05659602322162,10.269588132081193,10.097646160463096,10.019529232092616,100.82921081300222,102.80901818574762,100.95573661808798,100.19114732361759
29,1.004447500467597,1.0,10.029183582143997,10.24567476053478,10.098090910509855,10.019618182101969,100.56596023221621,102.69588132081194,100.97646160463098,100.19529232092619
30,1.027988344030207,1.0,10.073284229015453,10.234483584282106,10.100889744912877,10.020177948982573,100.29183582143999,102.4567476053478,100.98090910509858,100.19618182101969
31,1.0313415705458946,1.0,10.158008265086822,10.22958791615593,10.104023901967466,10.020804780393492,100.73284229015455,102.3448358428211,101.00889744912878,100.20177948982574
32,1.0225089562210443,1.0,10.214022715615489,10.23242107958843,10.10627479758957,10.021254959517911,101.58008265086823,102.29587916155933,101.04023901967469,100.20804780393493
33,1.0358599519163998,1.0,10.24429264636228,10.239701344300395,10.10986079278121,10.02197215855624,102.14022715615491,102.32421079588434,101.06274797589573,100.21254959517914
